4599244443:Aaron Chandler:1908-06-09:major:41
4558819384:Jessica Pierce:1982-07-08:ordinary:5
4576676774:Michael Wallace:1937-11-13:major:27
4535334092:Daniel Douglas:1953-02-13:major:2
4532144933:Stephen Williams:1941-06-29:ordinary:25
4574749739:Jason Young:1978-10-15:major:5
4540138852:Mary Gonzales:2014-06-23:major:79
4511775796:Darryl Benson:1920-05-01:ordinary:75
4595689147:Monique Sharp:1992-04-28:ordinary:49
4530811333:Justin Scott:1928-08-17:ordinary:65
4502267555:Chad Lewis:1953-03-11:major:73
4598786225:Teresa Kirk:2013-02-17:major:4
4582290409:William Gray:1983-05-22:major:68
4546407511:Danielle Oconnor:1994-07-13:major:52
4554877572:Joseph Moore:1939-06-11:major:49
4532551789:Mrs. Dana Adams:1959-06-10:ordinary:14
4510162262:Dr. Lawrence Edwards DVM:2004-11-06:major:21
4515693939:Paul Yates:1999-09-03:ordinary:10
4556462379:Kimberly Freeman:1948-10-26:major:73
4539660185:Michael Taylor:1937-06-03:ordinary:34
4507191868:Tina Pacheco DDS:1971-01-21:major:59
4597718405:Catherine Mcdaniel:1964-11-17:major:59
4501521728:Michelle Clark:1992-02-14:ordinary:64
4514878818:Mary Moore:1963-09-19:major:69
4578521641:Lisa Freeman:1907-01-02:major:7
4582319967:Zachary Larson:1949-07-27:major:32
4548237739:Robert Allen:1956-02-04:major:52
4552789703:Dawn Hansen:1973-08-10:major:68
4503792359:Brian Oconnell:1956-05-25:ordinary:60
4579538660:Daniel Brewer:2010-11-01:ordinary:76
4559492173:Luis Johnson:1963-06-04:ordinary:53
4537797457:Scott King:1985-04-23:ordinary:1
4540869957:Douglas Figueroa:1983-06-16:major:84
4512704540:Jonathan Howard:1978-07-15:major:65
4545791564:Patricia Marshall:1916-12-04:ordinary:6
4599455343:Jared Ross:1935-08-17:major:1
4568371668:Jay Duffy:2016-07-19:ordinary:68
4519654217:Terry Alvarez:1948-06-30:major:15
4553835302:Krystal Bauer:1958-01-11:major:46
4537733178:Reginald Johnson:2000-10-15:major:34
4574514584:Norma Scott:1968-09-30:ordinary:66
4588763660:Evelyn Scott:1997-08-11:ordinary:80
4556577787:Robert Bailey:1987-03-22:major:2
4504420606:Stephen Vargas:1933-06-16:major:9
4551141068:Julia Herrera:2013-05-06:major:32
4551249442:Nicholas Chapman:1960-09-01:ordinary:57
4572550724:John Martinez:1930-08-08:ordinary:80
4578784361:Kevin Sullivan:2016-04-10:ordinary:51
4500568294:William Mckee:1975-07-30:ordinary:49
4547888509:Nicole Hawkins:1972-01-11:major:17
4593503562:Mary Davies:1961-07-02:ordinary:44
4566977253:Shane Williams:1949-04-25:major:71
4597460273:James Bradshaw:1971-11-21:major:55
4567445624:Linda Smith:2016-09-24:ordinary:73
4514590906:Brittany Dunlap:1996-02-10:ordinary:22
4549681223:Julie Gordon:1926-12-10:ordinary:53
4528677168:Charles Murphy:1955-07-16:ordinary:17
4576986236:Rita Carlson:1912-07-24:ordinary:62
4501937579:Lori Bryant:1982-06-05:major:35
4550642909:Edward Patel:1933-12-31:major:68
4553885369:Joshua Kramer:2019-07-30:major:44
4525771708:Chad Green:1907-11-14:ordinary:75
4564109001:Mrs. Kathleen Miller:1927-10-14:ordinary:35
4505801671:Ryan Castillo:1986-11-29:major:59
4575074637:Heather Butler:1912-09-21:ordinary:80
4560293375:Mary Lee:1939-05-09:major:75
4545028948:Christopher Jones:2003-10-14:ordinary:45
4547859498:Patricia Diaz:1978-04-17:ordinary:41
4598003412:Nicholas Adams:1929-02-27:ordinary:70
4527951793:Rachel Harmon:2017-04-17:ordinary:57
4501167895:Tammy Phillips:1988-04-28:major:18
4523316662:Kevin Mcdaniel:1909-05-30:major:32
4504218063:Laura Watson:1966-03-29:ordinary:64
4565757834:Nicholas Schwartz:1984-04-06:major:38
4577938068:Elizabeth Lynch:1994-02-03:major:59
4541318447:Jose Vaughan:1958-10-10:ordinary:40
4589678269:Alejandra Lambert:1949-12-28:ordinary:15
4549787909:Wendy Lawson:1953-03-22:major:58
4540459397:John Wilson:1911-06-29:ordinary:30
4521901488:Kristin Ward:1991-12-17:major:32
4509061521:Katherine Bullock:1954-05-06:ordinary:30
4515440914:Philip Barrett:1934-11-19:ordinary:74
4528424828:Ronald King:2002-01-23:ordinary:4
4504181143:Tyler Strickland:1929-07-05:major:3
4534058802:Misty Hayden:1998-01-16:ordinary:10
4520601488:John Harris:1937-02-08:major:27
4567259886:Jason Gonzalez:1911-09-16:ordinary:60
4590911615:Kristin Tapia:1984-01-13:ordinary:43
4513525412:Mary Stanley:1930-10-12:major:22
4502393071:Ronald Tucker:1977-01-20:ordinary:76
4529400749:Holly Pope:1966-11-22:major:63
4580306185:Alejandro Brown:1978-12-14:major:49
4556564051:Carolyn Gordon:1931-03-10:major:83
4531526438:Mary Ellis PhD:2004-04-22:major:82
4509290239:Gregory Johnson:1933-06-17:ordinary:63
4581928668:Evan Willis:1928-05-04:major:84
4552587216:Darrell Davis:1978-06-13:major:59
4522199289:Veronica Barnes:1981-09-20:ordinary:79
4548556762:Jordan Anderson:1952-08-28:ordinary:39
4563843665:Earl Reyes:1930-06-19:ordinary:83
4528394634:John Jones:1978-02-27:ordinary:48
4500088358:Alex Foster:1986-05-06:ordinary:69
4502440962:Carla Sweeney:2004-02-06:ordinary:41
4585415542:Willie Clay:1906-02-16:major:22
4509371958:Jill Mercer:1961-10-30:major:77
4526322097:Edward Martinez:1919-10-05:major:73
4547645848:Angela Nguyen:1950-10-17:ordinary:49
4538162030:Alex Davis:2007-07-25:major:46
4545726677:Carrie Morrow:1987-08-27:major:66
4592627151:Kathryn Pearson:1961-05-29:major:9
4556306333:Amanda Berry:2007-07-27:major:2
4574218500:Madison Mullins:1907-07-25:major:4
4587246535:Anthony Thompson:1939-11-28:major:41
4517003338:Warren Ramirez:1983-02-17:ordinary:39
4512074124:William Tate:1910-11-10:major:30
4563676235:Brian Chandler:2007-03-01:ordinary:28
4582330603:Jill Hickman:1938-05-17:major:48
4530614530:Sarah Mayer:1948-01-20:major:43
4579024074:Carmen Williams:1916-01-04:ordinary:45
4523292125:Aaron Jones:1974-06-11:major:68
4529360104:Maria Chase:2010-10-21:major:38
4550841257:Eric Wright:1921-11-21:major:44
4554145753:Spencer Porter:1918-03-08:major:45
4552178108:Karen Torres:2000-02-06:ordinary:28
4500739862:Pamela Blackwell:2005-07-05:major:29
4512052519:Jack Berg:1975-07-07:ordinary:71
4507554643:Joshua Stokes:2001-12-15:major:24
4543117839:Elizabeth Mitchell:2020-01-26:major:9
4557942945:Jeremiah Wiley:1918-09-02:ordinary:10
4599919107:Joseph Pena:1906-05-14:ordinary:81
4563990658:Heidi Duffy MD:1920-01-17:major:56
4572988628:Molly Berry:1931-10-20:major:13
4521645577:Amanda Turner MD:2015-04-24:major:78
4503070645:Megan Kim:1999-03-23:major:79
4529125363:Tiffany Harris:2001-08-25:ordinary:40
4596608584:Tricia Martinez:1933-05-26:ordinary:26
4545661936:Kelsey Reese:1992-11-15:ordinary:77
4578493991:Jeffery Wright:2006-06-13:major:43
4559965615:Adam Chandler:1980-06-11:major:10
4500149432:Julie Powell:1964-02-08:ordinary:49
4544171619:David Johnson:1962-07-13:major:46
4508975451:Christina Flowers:1958-10-20:major:71
4592610034:Gina Stewart:1976-08-19:ordinary:53
4540333171:Eileen Beard:1961-10-17:major:45
4511380020:Bradley Hughes:1971-06-19:ordinary:64
4524482651:Ashley Mullins:1935-05-05:ordinary:24
4598366222:Veronica Walker:1928-10-17:ordinary:26
4574550742:Melissa Valenzuela:1940-12-05:ordinary:32
4554487541:Mitchell Barnes:1929-01-26:ordinary:12
4504414225:Steve Juarez:1943-11-05:ordinary:38
4536249648:Jessica Moore:2011-09-06:ordinary:67
4589725422:Mark Reed:1962-05-27:ordinary:53
4528377933:Dr. Francisco Norton:1950-10-21:ordinary:69
4509232976:Christopher Boyd:1918-08-28:major:24
4519513109:Katrina Jacobson:2004-03-05:major:43
4581049406:David Cruz:1964-06-17:major:22
4503648518:Lauren Johnson:2012-10-02:ordinary:82
4578628263:Joseph Bautista:1966-02-26:major:3
4581725803:Becky Johns:2006-04-05:major:10
4572603685:Mark Anderson:1999-08-04:ordinary:7
4564330462:Robert Johnson:1965-10-20:major:74
4544334501:Joseph Ramirez:1989-08-26:ordinary:16
4571161936:Laura Clark:1907-10-15:ordinary:29
4594755676:Kaitlyn Spencer:2009-05-09:ordinary:34
4569253502:Nancy Banks:2007-04-24:major:54
4556219563:Debra Bradshaw:1908-04-25:major:21
4566570232:Denise Boyd:1920-01-26:major:36
4562301750:Heather Kim:2001-11-25:ordinary:46
4595811548:Michael Luna:2018-11-08:major:61
4538195261:Kevin Hood:1986-08-06:major:71
4519940202:Yvonne Chavez:2004-01-12:ordinary:22
4581927712:Brittany Curtis:1954-04-10:major:9
4583462107:Natalie Hendricks:1990-02-11:major:52
4521497875:Tyler King:2019-05-05:ordinary:24
4537765190:Lee Smith:1945-01-07:major:30
4507701966:Brendan Williams:1910-03-17:major:34
4550340647:Catherine Ayers:1953-10-19:ordinary:47
4510264067:Stephanie Watson:1941-06-12:major:78
4508637793:Sara Lozano:2018-10-14:ordinary:20
4506698314:Albert Baker:1945-06-08:ordinary:35
4515991343:John Joyce:1992-07-10:major:69
4583445114:Lori Oconnor:1948-04-09:major:50
4590996448:Mr. Eduardo Hoffman DVM:1919-03-16:major:56
4517093571:Michael Richardson:1967-11-21:ordinary:2
4582386716:Charlotte Smith:1969-02-24:ordinary:24
4535570478:Kimberly Walter:1968-06-28:ordinary:14
4562944718:Lindsey Weber:1926-12-03:major:33
4502745378:Morgan Jenkins:1912-11-28:ordinary:70
4582231024:Randy Villarreal:1964-07-18:ordinary:80
4527017647:Teresa Conway:1985-09-02:ordinary:34
4564199149:Meghan Bray:2005-10-18:major:85
4542872276:Karl Kelley:1987-04-04:ordinary:25
4554771740:Hannah Meyer:1917-03-10:major:29
4527839747:Daniel Wolf:1988-01-05:major:10
4516420157:David Wall:1930-10-29:major:2
4529759343:Erik Hartman:1963-04-15:major:8
4551814520:Michael Martinez:1932-03-24:major:73
4568372394:Matthew Adams:1961-10-10:major:70
4516139553:Paula Nelson:2017-03-24:ordinary:77
4532464517:Cody Mcgee:2000-06-20:major:26
4588905783:Lindsay Tucker DDS:1969-09-04:major:31
4588394637:Joshua Murphy:1965-10-07:major:15
4569883172:Jessica Martinez:1946-12-23:ordinary:61
4518994705:Valerie Turner:1928-11-23:ordinary:53
4543781951:Ashley Griffin:1922-06-20:major:63
4517290079:Melissa Williams MD:1957-07-02:ordinary:41
4506452744:Melissa Garner:1906-09-11:ordinary:70
4531707710:Zachary Williams:1969-08-26:ordinary:15
4506813551:Judy Miller:1997-10-29:major:60
4507467992:Jennifer Dyer:1991-11-11:ordinary:62
4584808935:Elizabeth Simpson:1961-02-11:ordinary:42
4503432166:Courtney Snyder:2006-11-29:major:47
4594825112:Jason Jackson:1930-02-18:major:43
4588908265:Samantha Bartlett:1967-03-10:ordinary:11
4567499516:Felicia Carpenter:1946-04-28:major:2
4535425712:Jamie Ferguson:1987-09-20:ordinary:63
4570997056:Jared Clark:1907-12-31:major:10
4542122241:Sean Johnson:1917-08-26:major:67
4520364559:Melissa Lawrence:2020-09-02:major:36
4515949290:Samantha Perez:1922-12-28:major:66
4533264958:Richard Bennett:1953-08-09:ordinary:32
4591744041:Michael Marsh:1973-04-10:ordinary:18
4532054568:Phillip Reynolds:1969-06-23:ordinary:5
4503487151:Andre Taylor:1911-10-28:ordinary:16
4530995800:Shannon Gomez:1907-08-03:ordinary:31
4529767056:Michael Costa:1946-07-01:ordinary:32
4548754057:Robert Callahan:1932-04-03:ordinary:61
4518606535:Michelle Nicholson:1985-06-24:ordinary:77
4553990986:Charles Finley:2015-05-04:major:43
4531804807:Thomas Smith:1931-03-12:major:22
4552944834:Karen Blake:1934-07-04:major:53
4523329622:Anita Warren:1991-04-19:ordinary:43
4556040496:Michelle Pittman:1997-10-17:major:72
4551039132:Jeffrey Barnes:1908-12-28:ordinary:61
4564469428:Daniel Nelson:1950-06-21:ordinary:44
4559792612:Brian Cervantes:1960-04-23:ordinary:64
4562022182:Sheila Jensen:1915-08-07:ordinary:36
4580455690:Omar Aguirre:1968-02-14:ordinary:20
4508001255:James Flores:1971-05-15:major:40
4553521576:Derek White:1978-06-05:ordinary:59
4518612601:Lisa Atkinson:1975-08-25:ordinary:67
4523586525:Dana Stewart:1968-01-23:major:77
4580827990:Joseph Wood:1934-06-23:ordinary:50
4598264033:Annette Henderson:1974-05-14:major:3
4516168795:Tamara Pineda:1953-09-11:major:53
4579207671:Matthew Reeves:1972-08-07:major:2
4569503633:Amanda Walters:1978-08-12:major:74
4566053907:Jason Gonzalez:1959-03-22:ordinary:1
4527966199:Alex Dean:2019-02-28:ordinary:19
4575597816:Catherine Stanley:1967-06-23:major:2
4500940159:Justin Herrera:1968-09-03:ordinary:27
4556761554:Craig Freeman:1942-02-03:major:27
4510070039:Michael Sanchez:1914-01-31:ordinary:54
4516391799:Stephanie White:1954-10-22:major:19
4551845091:Sean Lawson:1940-11-20:major:6
4514812713:Allison Savage DDS:1941-11-29:major:32
4515227355:Casey Carter:1952-10-21:ordinary:56
4540654972:Charles Walker:1928-02-06:major:51
4548349384:Ryan Moody:1960-02-17:ordinary:63
4582906796:John Chapman:2013-06-02:ordinary:23
4566637299:Alexander Morales:1931-09-18:major:80
4592606145:Anna Herrera:1914-02-08:major:16
4585607197:Melvin Smith:1982-03-27:major:40
4538890401:Sheila Garcia:1957-09-19:ordinary:43
4540170915:Jennifer Thomas:1960-02-08:major:46
4535400274:Brian Wolf:1982-10-23:ordinary:8
4500924763:Natalie Bentley:1929-03-09:ordinary:38
4580538151:Ariana Williams:1910-07-20:major:60
4550362982:Cindy Anderson:1951-07-06:major:5
4544398155:Alfred Burns:2002-09-25:ordinary:69
4569481728:Joe Walsh:1963-07-28:ordinary:65
4557807630:Andrew Ramos:1968-08-14:ordinary:78
4586772365:Kyle Oconnell:1941-01-25:ordinary:15
4510662272:Juan Ward:1920-10-30:ordinary:34
4563118665:Jason Barber:1957-09-01:ordinary:39
4512950920:Sean Ball:2005-07-23:major:66
4525003117:Mrs. Rebekah Hayes:1930-05-28:major:54
4536236468:Gregory Young:1905-11-18:ordinary:39
4521755022:Kathryn Jackson:2021-08-23:ordinary:50
4525433352:Juan Jackson:1956-08-19:major:1
4599998631:Brandon Smith:2003-10-02:major:75
4571260110:Brenda Kelly:1979-10-28:ordinary:39
4531150936:Kayla Lopez:1909-02-04:major:28
4538423481:James Harris IV:1927-08-29:ordinary:22
4507966859:Alex Nunez:2019-04-09:ordinary:68
4510230584:Shirley Wade:1998-12-23:ordinary:19
4528930326:Casey Cole:1956-09-27:ordinary:71
4550739120:James Jones:1938-08-23:major:30
4585270096:Ebony Morales:1920-12-12:major:60
4556829248:Michael Moore:1938-02-05:major:9
4595225228:Christopher Cox:2017-05-25:major:6
4597247186:Karen Malone:2021-08-16:ordinary:69
4517889750:Taylor Nelson:2006-07-04:ordinary:22
4544337683:Michael Smith:1924-08-01:ordinary:57
4538628941:Sara Adams:1918-09-03:ordinary:65
4569698613:Michael Barton:2020-01-25:major:28
4516968897:Walter Bowen:2009-02-01:major:64
4585938446:Mrs. Tina Ramirez:1976-09-23:ordinary:50
4572223953:Brittany Medina:1971-11-10:ordinary:19
4580987451:Brian Lopez:1910-10-22:ordinary:8
4504858605:Angela Collier:1959-03-27:ordinary:74
4505050557:Jamie Morgan:1976-11-16:ordinary:60
4547479738:Susan Powers:1909-01-14:major:62
4558927903:Danielle Sandoval:2002-12-23:ordinary:42
4595272599:Peter Villarreal:1946-07-07:ordinary:66
4572017251:Isabel Lawrence:1994-03-02:major:22
4576752081:Dr. Tina Walker:1945-02-24:major:48
4564091908:Kerry Sawyer:1954-10-10:ordinary:4
4550020847:Brianna Moore:1925-03-28:major:54
4557682301:Cheryl Mitchell:1956-11-07:major:28
4592010735:Travis Banks:1930-01-29:ordinary:78
4533666047:Randy Gordon:2010-01-03:ordinary:67
4500820766:Paul Lee:2017-03-02:major:62
4580444990:Kristen Vasquez:1921-01-13:ordinary:47
4548076074:Erica Greer:1908-02-07:ordinary:66
4549664915:Alyssa Cline:1957-01-16:ordinary:18
4588011943:Samuel Spencer:1919-10-24:ordinary:3
4504350723:John Davis:1934-01-09:major:19
4506706806:Meredith Burns:1951-09-03:ordinary:38
4551382362:Michael Cole:2003-03-30:major:17
4594099274:Larry Montgomery:1956-05-02:major:16
4513403108:Melissa Byrd:1996-04-22:major:67
4593263548:Melissa Atkins:1963-11-06:ordinary:68
4530301575:Kelly Campbell:1977-05-28:ordinary:10
4562637752:Kaitlyn Kirby:1941-03-26:ordinary:29
4581158813:Jason Singleton:1947-07-11:major:27
4599293695:Krystal French:2010-09-15:major:1
4545485022:Nicole Bird:1975-04-15:ordinary:78
4596608397:Dennis Patrick:2020-12-15:ordinary:25
4532380309:Laura Thornton:1941-10-24:ordinary:10
4582750927:Sheila Rojas:2007-06-21:major:47
4508780900:Katherine Summers:1947-03-19:ordinary:13
4544815155:Ashley Rodriguez:1945-04-29:major:82
4524133835:Renee Herman:1953-03-01:major:42
4555839146:Michael Holmes:2015-10-19:ordinary:37
4580982828:Jacqueline Cooper:1982-05-16:major:4
4521192861:Pamela Ferguson:1925-12-25:ordinary:9
4584932332:Caleb Reeves:2013-03-26:ordinary:56
4510406856:April Turner:1947-11-22:ordinary:60
4548941812:Sierra Kirk:2010-01-07:ordinary:25
4571324795:Lori Gutierrez:1949-09-01:ordinary:38
4523545207:Susan Cannon:1946-05-19:major:24
4566422077:Casey Williams:1997-03-28:major:9
4520863731:Karen Thomas:1931-10-04:ordinary:60
4588373550:Stephanie Brown:1979-02-12:major:63
4509351044:Eugene Hunter:1976-01-15:ordinary:4
4588603197:Marilyn Ward:1936-09-04:ordinary:85
4536836015:Michaela Andrews:1999-08-20:major:31
4596715105:Janet Fox:2017-02-05:ordinary:11
4594482553:Nicholas Jacobs:1910-03-11:major:6
4563507401:Megan Baker:2013-04-20:ordinary:37
4503916354:Gregory Brennan:1933-12-01:major:60
4527296467:Erin Anderson:2012-07-08:major:54
4586923483:Elizabeth Wilkerson:2018-09-22:major:2
4544726690:Douglas Bennett:1906-10-24:ordinary:79
4572504944:Benjamin Hernandez:1925-09-21:major:2
4529403046:Heidi Berry:1912-12-02:major:71
4538038984:Andrew Kelley:1929-04-18:major:20
4549027814:Ryan Ferguson:1920-02-27:ordinary:22
4531037863:Kyle Smith:1921-09-30:ordinary:26
4594451192:Arthur Walls:2004-09-28:major:44
4586872158:Maria Downs:1993-08-24:ordinary:76
4510948347:Kevin Swanson:1966-11-12:major:72
4574154134:Ashley Anderson:2001-04-15:ordinary:27
4519244087:Dorothy Moore:1978-06-02:ordinary:60
4570039610:Angela Malone:1925-03-25:ordinary:15
4570901007:Melissa Nunez:1935-05-12:ordinary:60
4584130617:Rickey Gutierrez:1999-11-21:ordinary:6
4584583771:Brandon Torres:2004-04-18:ordinary:46
4505222858:Michelle Ortiz:1950-12-14:major:35
4527415803:David Thomas:1942-10-14:ordinary:8
4516404983:Christopher Smith:1996-02-18:major:74
4576364894:Tyler James:2005-07-10:major:37
4555147077:James Reed:1919-09-11:ordinary:69
4569935242:Daniel Kerr:1908-01-06:ordinary:1
4556742932:Carly Johnson:1974-04-09:ordinary:71
4539711231:Joshua Sherman:1906-07-07:ordinary:49
4562102737:Jennifer Osborne:1989-11-05:major:45
4537147625:Hailey Grimes:2008-05-16:major:67
4519721398:Stephen Chavez:1988-08-18:ordinary:18
4585353735:Brandi Mcfarland:1978-04-20:ordinary:33
4502879412:Michelle Barton DDS:1997-02-24:major:12
4579719329:James Roberts:1994-02-24:major:22
4540525988:Mark Burton:2011-07-12:major:84
4524961491:Barbara Sullivan:1938-04-04:major:51
4522281236:Leah Garcia:1909-04-05:ordinary:56
4514889848:Haley Rogers:1942-02-26:major:74
4503911723:Jeffrey Norton:1980-07-08:ordinary:61
4541069934:Daniel Johnson:2004-12-13:ordinary:37
4579140504:Robert Hanson:1922-08-09:ordinary:24
4524887076:Linda Brown:1951-02-03:ordinary:23
4542005521:Sabrina Mata:1912-11-04:ordinary:35
4531385844:Vanessa Thompson:1920-11-25:major:53
4560483211:Wendy Odonnell:2008-05-15:major:25
4593703570:Derek Reynolds:1967-08-11:ordinary:64
4591121730:Thomas Peck:1956-06-17:major:3
4586979645:Michael Trevino:2004-12-06:ordinary:27
4506132561:Ruben White:1995-05-25:ordinary:12
4530026374:Karen Gaines:1936-01-21:major:14
4540913867:Tammy Dillon:2015-07-18:major:14
4502245456:Aaron Henry:1945-03-12:major:20
4582837301:Daniel Riley:1975-07-06:ordinary:80
4577728838:Justin Owens:1996-02-18:ordinary:46
4578913046:Elizabeth Jones:1944-04-17:ordinary:79
4525172620:Debra Moore:1991-05-11:ordinary:76
4505360623:Ruth Jensen:2006-01-05:ordinary:52
4590104614:Jean Kent:1948-06-27:ordinary:32
4580046700:Catherine Dougherty:2012-05-28:major:33
4574867750:Joann Clayton:1933-04-28:ordinary:40
4516288968:Kimberly Freeman:2020-01-25:major:73
4553542792:Rachael Delgado:1945-12-31:major:62
4535393054:Patrick Greer:2021-01-07:ordinary:9
4553372606:Juan Flores:1926-02-25:major:53
4501065660:Jeffery Mora PhD:1922-07-03:ordinary:35
4556056363:Ashley Stone:1936-01-04:major:33
4525890287:Andres Zuniga:1964-02-15:major:48
4525792458:Sheena Allen:1942-04-26:major:43
4541475543:Anthony Goodman:1986-11-13:major:48
4531022016:Danielle Gardner:1929-01-02:major:26
4534034138:Dan Newton:1952-01-30:major:48
4583144013:Todd Leblanc:1980-07-23:major:40
4521888082:Megan Bates:1942-04-10:major:42
4505807550:Andrew Martinez:1975-12-30:ordinary:72
4583574834:Kelly Ballard:1938-10-10:ordinary:11
4580765367:Alexis Sims:2009-05-17:ordinary:85
4558950337:Shawn Arnold:1906-06-02:major:68
4551668224:James Torres:1914-08-15:major:28
4564494108:Dan Gonzalez:1952-10-12:major:22
4561655341:Jessica Banks:1948-01-01:ordinary:69
4563778329:Charles Moore:1912-02-24:major:42
4503313311:Mark Griffith:1986-04-09:ordinary:65
4542899491:James Warren:1928-11-19:ordinary:83
4505771096:Andrew Douglas:1981-06-12:major:3
4575792268:Kim Skinner:1929-10-23:ordinary:45
4556143110:Daniel Holmes:1946-02-21:major:52
4581876824:Daniel Riddle:1946-12-20:ordinary:39
4520986867:Samantha Johnson:1938-06-07:major:51
4589846434:David Berg:1967-04-15:major:58
4563700717:James Burton:1922-06-17:major:62
4590248650:Robert Johnson:2012-03-17:major:35
4580336466:Stephanie Gibson:1915-09-16:major:7
4564731958:Jordan Webb:2004-05-02:ordinary:45
4586085303:Brandon Ford:1996-06-30:major:36
4576697910:Kenneth Holmes:1943-07-19:major:15
4580000688:Courtney Andrews:1957-10-05:ordinary:6
4550306058:Kaylee Butler:2009-05-14:major:16
4592155903:Tammy Mejia:1995-02-16:major:6
4530873933:Ryan Schmidt:1931-11-24:ordinary:62
4540012025:Joseph Bennett:1914-01-29:major:83
4524684675:Kimberly Blair:1912-01-08:ordinary:78
4545619537:Leslie Carter:1983-10-31:major:25
4570913555:Jerry Sparks:1985-09-28:major:42
4552868139:Jeffrey Patterson:1982-10-20:ordinary:28
4532741080:Miguel Morrow:1915-06-08:major:25
4571544713:Christine Carter:2011-01-03:major:4
4509159677:Jill Vaughn:1962-04-26:ordinary:61
4530906717:Kathleen Bradford:1953-06-27:major:31
4545284295:John Davidson:2009-12-29:major:66
4540836211:Christopher Taylor:1930-08-20:ordinary:48
4553207076:Jeff Jensen:2005-03-29:major:12
4503629301:Marc Burns:1980-03-31:ordinary:31
4581009444:Sarah Logan:1947-07-17:ordinary:52
4530368224:Diane Lamb:1969-10-02:ordinary:4
4586456826:Justin James:1926-09-24:major:80
4564023941:Laura Taylor:1988-01-30:ordinary:71
4520268499:Cody Miller:1991-05-10:ordinary:63
